STATION,NAME,DATE,PRCP,SNOW
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/23/18,0.02,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/24/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/25/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/26/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/27/18,0.02,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/28/18,0.06,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/29/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/30/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",5/31/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/1/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/2/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/3/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/4/18,0.62,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/5/18,0.34,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/6/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/7/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/8/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/9/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/10/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/11/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/12/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/13/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/14/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/15/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/16/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/17/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/18/18,0.13,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/19/18,0.01,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/20/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/21/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/22/18,0,0
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",6/23/18,0,0
